412740,Dylan Fitterer
545650,Double Coconut
579950,Telltale Games
58610,Eugen Systems
414740,Starbreeze Publishing AB
228760,Ubisoft
538590,White Dog
457550,"Bigscreen, Inc."
545110,IObit
61700,Ubisoft
670880
712840,Paradise Project
363360,Split Polygon
420790,Crunchy Games
335620,Trese Brothers
368360,Robot Gentleman
370730,"KOEI TECMO GAMES CO., LTD."
570420,Egosoft
73010,Paradox Interactive
204340,Devolver Digital
393080,Activision
201700
454510
523120,MAGIX Software GmbH
382900,Square Enix
239120,Square Enix
71250,SEGA
63910,1C Entertainment
513620,Sometimes You
22350,Bethesda Softworks
485980,Cats Who Play
252110,Asteroid Base
98800,"Gaslamp Games, Inc."
505040,RTK Entertainment
316790,Double Fine Productions
555160,davevillz
3720,Rebellion
253430,DigitalDNA Games LLC
285010,DL Softworks
238750,Ubisoft
577230,LongYou Tech Ltd
546400,White Dog
293780,Powerhoof
321410,Slitherine Ltd.
460120,Idea Factory International
15320,1C Entertainment
506610,Scott Cawthon
404680,Runic Games
353270,Idea Factory,Idea Factory International
436320,Survios
6800,Kalypso Media Digital
745880,"Mediascape Co., Ltd."
214420,Doctor Entertainment AB
551730,"KOEI TECMO GAMES CO., LTD."
48210
383180,Deep Silver
262940,Revolution Software Ltd
503770,Wenkly Studio Sp. z o.o.
25000,Wolfire Games
550340,MangaGamer
6910,Square Enix
460870
41010,Devolver Digital
485420,Dagestan Technology
327140,Google
224760,Trapdoor
3480,"PopCap Games, Inc."
315460,Gaddy Games
224500,Robotronic Games
233720,Bossa Studios
16450,Warner Bros. Interactive Entertainment
8000,Square Enix,Feral Interactive (Mac)
50620,THQ Nordic
203680,Codemasters
13260
452570,Adult Swim Games
258030
224060
363090,"KOEI TECMO GAMES CO., LTD."
580200,Prideful Sloth
67370,2K
562810,Ubisoft
434030,IPACS
337950,Eforb
457710,Faton
263760,Secret Exit Ltd.
404540,Housemarque
583470,Edmund McMillen,Tyler Glaiel
427720,AGM PLAYISM
15700,Oddworld Inhabitants
412050,Zenz VR
703700,NVLMaker
10270,Kalypso Media Digital
388880,Night School Studio
254300,Ankama Games
528200,MAGIX Software GmbH
219830,Transhuman Design
206440,Freebird Games
248860,Blue Bottle Games
65790,Bohemia Interactive
39190,Square Enix
569860,Terrible Toybox
12150,Rockstar Games
25830,Paradox Interactive
41000,Devolver Digital
397100,G2CREW
311770,Disney Interactive
468070,Isokron
269330,Bedtime Digital Games
260430,Digital Leisure Inc.
577940,Xbox Game Studios
327860,Lavaboots Studios
340000,Adult Swim Games
251950,Cornered Rat Software
22130,Paradox Interactive
92800,Zachtronics
104900,DANKIE
237850,Red Thread Games
327090,Space Boat Studios
394230,2K
461880,Sometimes You
603780
1200,Tripwire Interactive
368230,Raw Fury
595420,Out of the Park Developments
21000,Warner Bros. Interactive Entertainment
236090,Xbox Game Studios
317360,Double Action Factory
282400,THQ Nordic
449800,"KOEI TECMO GAMES CO., LTD."
11450,Codemasters
40700,Amanita Design
517160,Toast
521150,The Quadsphere
24840,Electronic Arts
580420,KrupinskiArt
430440
625950,Lestyo
57730,Kalypso Media Digital
384740,Ionized Games
425580,Fireproof Games
527100,Ubisoft
205990,Paradox Interactive
298030,Wargaming.net
500710,Juvty Worlds Ltd.
259020
492130,Efimov Max
421050,Daedalic Entertainment
312750,Square Enix
464060,Devolver Digital
527270,"KOEI TECMO GAMES CO., LTD."
453090,Texel Raptor
435400,Adriaan de Jongh
13210,"Epic Games, Inc."
542480,Virtys
232010,SCS Software
2810,Egosoft
338180,Abyss Lights Studio LLP
454080,David Mulder
70400,Carpe Fulgur LLC
33340,Ubisoft
235800,Dylan Fitterer
7760,2K
243950,Larian Studios
239840,DoubleBear Productions
308040,Bedtime Digital Games
629690,"Fatbot Games, s. r. o."
322520,"KOEI TECMO GAMES CO., LTD."
313780,Iceberg Interactive
522470,Blue Brain Games
228300,Capcom
385730,2K
235320,Bohemia Interactive
350110,astragon Entertainment 
449630
507300,2tainment GmbH
234710,Telltale Games
231060,Gravity Interactive
639790,Neko Climax Studios
32500,LucasArts,Lucasfilm,Disney Interactive
345240,SEGA
317820,Versus Evil
312280,BlueLine Games
681820
311260,THQ Nordic
501800
504210,Zachtronics
682130,Robert Borghese
247020,Vertigo Gaming Inc.
339340,"CAPCOM Co., Ltd."
416270
322920,Expansive Worlds,Avalanche Studios
287260,Codemasters
335360
46500,Microids
445880
384190,505 Games
375950,Ice Water Games
221540,505 Games
324510,Square Enix
385380,Permadeath
57900,2K
467000,New Reality Games
448500,Blake Fix
441550,LucasArts,Lucasfilm,Disney Interactive
274900,JForce Games
423230,The Game Bakers
256290,Ubisoft
296470,Stegersaurus Software Inc.
236150,Iceberg Interactive
343780
2100,Ubisoft
213120
8600,SimBin
299460,Chubby Pixel
70600,Team17 Digital Ltd
417860,Kyle Seeley
224480,Young Horses
216890,Focus Home Interactive
39200,Square Enix
216260,Big Ant Studios
425220,BANDAI NAMCO Entertainment
292910,Daedalic Entertainment
581620
220740,Daedalic Entertainment
244730,Iron Galaxy
215100,Gravity Interactive
362680,Killmonday Games AB
328080,SixtyGig Games
370360,Zachtronics
12250
446020,Excalibur Games
314410,Rake in Grass
9340,SEGA
237870,Pathea Games
301320,Mad Data GmbH & Co. KG
340050,Ginormocorp Holdings Ltd
448080,"Jackbox Games, Inc."
323220,Nuke Nine
583010,VoiceAttack.com
2620,Activision
252410,Image & Form Games
231160,Facepalm Games
32360,LucasArts,Lucasfilm,Disney Interactive
486780,Halfbrick Studios Pty Ltd
561600,Milestone S.r.l.
314790,Daedalic Entertainment
474050,White Rabbit Games
362490,Bare Mettle Entertainment
368340,Deck13,WhisperGames,DANGEN Entertainment,Mayflower Entertainment
107200,MinMax Games Ltd.
394760,App Holdings
254100,Topware Interactive
312520,Adult Swim Games
460810,SEGA
593030,Slitherine Ltd.
555220,RedCandleGames,AGM PLAYISM
130,Valve
19930
512770,Merlin Beer
424030,Campfire Games
504880,DL Softworks
407330,Winged Cloud
21090,Warner Bros. Interactive Entertainment
222440,SNK CORPORATION
225080,505 Games
591370,Positech Games
570770
639170,Telltale Games
323610
221260,Tomorrow Corporation
12320,Strategy First
527290,"KOEI TECMO GAMES CO., LTD."
657860
407190,2tainment GmbH
319730
272230,Devolver Digital
385800,Sekai Project
202200,Stardock Entertainment
300570,Zachtronics
718650,Star Drifters
378200
39160
227180
224540,Jagex
336510
57640,Revolution Software Ltd
618970,Bigben Interactive
429280,8Floor
345390,Sierra
477980,!Lim studio
45770,Capcom
39000,NASA
405640,Daniel Mullins Games
665180,Paradise Project
494670,astragon Entertainment
416450,Pixel Federation
303720,8Floor,Beatshapers
265610,Matt Roszak
354850
497180,Activision Value Inc.,ImageCode
95400,Sparpweed
2800,Egosoft
735280,Sixteen Tons Entertainment
